"Temporary In-house Box Reference","Existing box label(s)","Box contents summary","Covering Dates","","",""
"127","<"," Jackie Kay Life Mask MS + Proofs; Peter Reading Collected 3 1997-2003 - Proofs Copy; Menna Elfyn Blind Man's Proofs; Zephaniah Too Black Too Strong Proof; Helen Dunmore Out of the Blue MSS + Proof","1997-2003","","",""
"128","Deryn Rees-Jones MS + Proofs Consorting with Angels + Modern Women Poets","Unlabelled Envelope contains Consorting with Angels (poor print quality); Unlabelled Envelope contains Consorting with Angels (better print quality); Loose sheets containing Consorting with Angels Rewrites; Loose sheets containing Modern Women Poets Rewrites","<","","",""
"129","<"," Brendan Kennelly Reservoir Voices (2009) MSS> Proofs + ed. Correspondence; Edna Longley Annotated Collected Poems of Edward Thomas MSS + Proofs; George Szirtes New + Collected Poems MSS + Proofs","2009","","",""
"130","<"," Jeet Thayil Contemporary Indian Poets MS + Proofs; Strong Words Gd. W.N. Herbert + Matthew Hollis Editorial Correspondence","2000-2008","","",""
"131","<","Green folder Organisers Labelled: McGuckian MacInnes McAllister; Peter McDonald David McDuff Gerald Mangan; Macphee MacSweeney; Macbeth Marquis Mapange Margarit; Martin (Bill + Isabel) Mace; Mathews Maxwell Markham Mace; Nemes Nagy; Mitchell Morgan; NGP; O'Brien O'Reilly; O'Siadhail O'Callaghan; Gyorgy Petri Persson; Douglas Oliver Mary Oliver Otto Orban; Andrew Furckk Peters Jem Poster; Pollard; Pirrie Pow Porteoud Prynne; Poetry Quartets (Cassette Series); Prizes/Awards Info Sheets; J.H. Prynne; Deborah Randall; Ratushinskaya Read Reed; Rees-Jones Rumens; Rae Reverdy Reading; Rouse; Russian List Info Sheets; Tracy Ryan; Elena Schvarts Sadier; Salzman Sail Sappho Senior; Sansom Spalding Satyamurti Scherbina; Ken Smith Shan; Sodergran Stetie Scott; Stainer Schnackenberg; Sammer Sorescu Stenberg; Stevenson-Anne Szirtes-George; Tardieu Tuominen Tagore Tsvetayeva; E.P. Thompson; RS Thomas; Tranter Transtromer; Chase Twitchell Pia Tafdrup; Liliana Ursu; Voss Valek DM Thomas; Susan Wicks JH CK Williams CK Williams; Wills Whitehead; Wright (Glyn and James);Zephaniah","<","","",""
"132","<"," Ken Smith Shed Proofs + MSS; Linda France The Simultaneous Dress Proofs + Several Versions of MSS; Linda France The Gentleness of the Very Tall MSS + Proofs; Enzensberger Kiosk Proof; Sansom Writing Poems Proofs; Annemarie Austin Back from the Moon Proofs + MSS","<","","",""
"133","<"," Lever Arch Folder - Irina Ratushinskaya; Bishop Anderson/Shapcott Proofs; Tatiana Voltskaia MSS> Proofs + ed Correspondence; John Sears Reading George Szirtes MSS + Proofs","2006","","",""
"134","<"," Linda France Editorial Correspondence and some MSS + Proofs; Michael O'Siadhail MSS + Proofs The Gossamer Wall; Selima Hill Portrait of my Lover as a Horse MSS + Proofs; Nathan Hamilton (ed) Dear World + Everyone in it (2013) MS","2006-2013","","",""
"135","<"," Menna Elfyn Perfect Blemish Proofs; Selina Guinness The New Irish Poets (2004)","2004","","",""
"136","<"," Waking Dreams New and Selected Poems Lawrence Sail MS> Proofs + Editorial Correspondence; Glad of these Times Proof> MSS + Correspondence; Lawrence Sail Eye-Baby Proofs + MSS + Editorial Correspondence; Sarah Wardle Score! MSS + Proofs + Some Correspondence","2005","","",""
"137","<"," Julie O'Callaghan Tell me this is Normal Proofs + MSS; Tomas Venclova The Junction (2008) MSS + Proofs; Book of Judas","2008","","",""
"138","<"," Caitriona O'Reilly Proofs + Several MSS Versions; George Szirtes Anenglion Apocalypse MSS + Proofs; Jamie Queen of Sheba Proofs + MSS; Andrew Greig Into You MSS + Proof (several MS Versions); Evgeny Rein Selected Poems; David Constantine Collected Poems MS + Poems","<","","",""
"139","<"," MS + Proofs Chasing Catullus: Poems> Transgressions and Translations Josephine Balmer; Shvarts/Paradise; Sodergran/ Complete Poems; Sorescu/Selected Poems; Caitrona O'Reilly The Nowhere Birds Correspondence; Astely: Do Not Go Gentle; Catullus: Poems of Love and Hate Translated by Josephine Balmer MS + Proofs","2003","","",""
"140","Neill's Overspill Irina Ratushinskaya","Newspaper snippet - The Book That Freed Irina;  Deborah Rogers; Ratushinskaya/No I'm Not Afraid; Pencil Letter Texts; Konnitinen Byker Editorial Corr; Byker Sirka Lisa Kontinnen; Ratushinskaya; Irina Ratushinskaya Russian Texts Photocopies of all Irina Ratushinskaya's poems in Russian (not specific to any one book); Ratushinskaya Reprint Action; Horovitz Correspondence","1983-1988","","",""
"141","Herbert + Holls Strong Words Complete List Proofs + MSS","Unlabelled Packet contains - Randall Jarrell> Elizabeth Bishop> Robert Graves> Robert Frost> Crane> Stein> Louis Zukofsky> Greig> Olson> Creeley> Levertov> Moore> Bishop> Dylan Thomas> O'Hare> Lorde> Gunn> Plath> Stevie Smith> Seamus Heaney> Ginsberg> Yeats> T S Eliot> Stevens; Loose sheets contain: poets from Strong Words; Strong Words Proof; Irina Ratushinskaya No I'm Not Afraid Publication 1 May 86","1986","","",""
"142","Old Author Photographs"," KayJamie; Duhig (new photo); Dharker; Dutton; Greig + Jamie; Breeze; Conn; Bunting; Constantine; Duhig; Anna Elfyn; Greenhalgh; Greig; Gross; Herbert; Hill (Reading); Hill; New J. Kay Photo; Kay; Hartley Williams; Smith; Lewis (New photo '98); Oliver; O'Callaghan; O'Callaghan; Thomas; Transtomer; Joolz (New Photo); G. Lewis;France; Old Copus (1994 - use newer one unless run out); C K Williams; C K Williams; Williams; Roddy Lumsden; New Copus (1996); France; Pollard; Allnutt; Armitage; Carson; Clemo; Gillilan;Harrison; Herbert; Hughes> Frieda (b/w); Hughes (colour); L. Sail; Fainlight; Hyland; Joolz; Knight (old pic); Levertov; Lomax; Dunmore; Dunmore; L. Sail; Edmond; Scott; Old Brathwaite","1994-1998","","",""
"143","CRC Various Titles as marked inside"," Kay/Adoption Paper; Bloodaxe The New Poetry;Horovitz/Collected Horovitz; R S Thomas No Truce with the Furies; Black Horse; McAllister Objectivists; Mitchell Blue Coffee; Reading: Collected Poems 2; Bloodaxe Books Lorca - Selected Poems; Tsvetayeva/ Select Poems","<","","",""
"144","<","Green folder Organisers Labelled: S.J Litherland> Herbert Lomas> Lynch> P. McDonald> David McDuff> Piairi Macinaes> Christine McNeill> Gerald Mangan> Don Marquis> Jill Maughan> Michaux> John Montague> Morden Tower Anthology","<","","",""
"145","<","Green folder Organisers Labelled: Reed (Montale)> Razumovsky> Ratushinskaya Publicity> Irina Ratushinskaya> Letterhead> Rae/ Rushton> Footnotes> 7. 40. 13 P.S.V. Class II> Poetry on the Underground> Poetry Virgins> Jem Poster> Tom Pow> Promoting Poetry","2013","","",""
"146","<","Green folder Organisers Labelled: John Cassidy> Eilean Ni Chuilleanain> Chaplin> Killarney Clary> Cleary> Noel Conner> Jane Cooper> Julia Copus> Women Poets> Hart Crane> Czechs/ Janovic> Czerniawski","<","","",""
"147","<","Green folder Organisers Labelled: B S. Johnson>  L. K. Johnson> Joolz> Sylvia Kantaris> Kinsella> Helen Kitson> Stephen Knight> Sirkka-Liisa Konttinen Step By Step> Jean Hanff Korelitz","<","","",""
"148","<","Green folder Organisers Labelled: Elytis> Eluard> Steve Ellis> Elliot> Lauris Edmond> Jacques Dupin> Duhig> John Drew> Stephen Dobyns> Fred D'Aguiar","<","","",""
"149","<","Green folder Organisers Labelled: Reverdy> Carol Rumens publicity> Sean O'Brien> Tracy Ryan> Sadler> Scammell> Seeds of Fire> Olive Senior> Jo Shapcott> Matt Simpson> Sodergran","<","","",""
"150","<","Cassette Tapes: Box labelled; Bloodaxe - Radio Publicity 1998-99; Bloodaxe Books Radio Publicity Highlights from 1998> Bloodaxe Books Radio Publicity Highlights from 1999> Open book 9/5/99 Andrew Greig Death of a Naturalist Satyamurti> J. Berry> The World Service The Art of Translating 13/2/99> Woman's Hour 9/3/99 'Binta' Breeze A Good Read 30/3/99 Ken Smith> Fine Lines 15/8/99 Fleur Adcock 22/8/99 Maura Dooley> Meridian Books 10.06.99> Postscript Radio 3 11/3/99 Ken Smith Fine Lines Radio 4 14/3/99 Katrina Porteous> Radio 4 12/3/99 The Friday Play: Fishermen by David Constantine> Fine Lines Kenelly + Donovan Night Waves Pauline Stainer> Postscript on Douglas Oliver The Wasting Game on Woman's Hour> RS Radion Poems> Calling the Time> Open Book 25/7/99 Ben Zepheniah Fine Lines 25/7/99 Frieda Hughes> Interview - Lynie FM Sound FX - Michael O'Siadhail> Front Row 26/2/99 Wooroloo A Place in my Mind 25/4/99 Jackie Kay> Woman's Hour - Irina Ratushkaya 24/6/99 The Index Yang Lian 24/6/99> Fine Lines 14/2/99 Kathleen Jamie Night Waves 17/2/99 Henri Michaux> Friday Play: Trumpet by Jackie Kay> Outlook - 12/01/1999 + Fine Lines 21/2> Night Waves 15.12.99> Bloodaxe Books Radio Publicity Highlight from 1999> My Century - Survivors - Compilation> Write Now BBC North West 23/2/98 Glyn Wright> Night Waves 22/9/99 Visitants Night Waves 15/12/99 Repair> Front Row 26/2/99 Wooroloo Fine Lines 21/2/99 Laurelude> Night Waves 21/4/99 Prynne Rhymescapes 26/6/99 Shapcott O'Brien> Midweek 29/12/99 Frieda Hughes> Radio Highlights 1998 Master Better than Sex D'Aguar + Dooley Best Words Herbert + Kinella Prynne> Sunday Worship Radio 4 11/10/98 Michael O'Siadhail reads 3 Poems> Best Words Voss: Carnegie Hall Postscript on Holderlin> Nightwaves - Kennelly Best Words - Kay> Radio 3 Book of the Month 4/4/98 Deregulated Muse> Kaleidoscope 19/1/98 Pelt of Wasps> Finelines - Episode One> Night Waves Scar on the Stone Afternoon Play Amanda Dalton> The Man Made of Rain> Agard on Ghetto Blasting> Fine Lines Radio 4 19/7/98 + Piot Sommer/ France + Fisher> Speaking of English - Series 21 Prog 20 - John Kinsella Box labelled; Radio Archive 1997 Publicity Tapes; The Man Made of Rain> Imtiaz Dharker on Focus on Faith wk 22/97> Storyville session 21/3/97 Caedmon Hall Lewis Watson/ Keith Morris> Best Words 29.03.97> Jeune Parque Night Waves 9/4/97> Fred MacAulay Show 8.10.97> The Poet Speaks SAFM Joannesburg Laris Edmond> Woman's Hour 28/5/97> Woman's Hour 21/10/97> Emma Hamilton and the Elephant Man> Imtiaz Dharker View from Abroad 108.97> Benjamin Zephaniah> Desert Island Discs> Ken Smith ""Dear Diary"" BBC 4 ""Ukraine> North of Watford> Poetry Wow with Theo + Rita A. Higgins Oct 9'96' Ireland Tonight - Rita Ann Higgins Oct 11'96> The Memory of Troy> Barry MacSweeney - Radio Newcastle 28-11-97> Anne Stevenson> Pick of the Week: Breeze Bestwords: France> Side A Paul Durcan Side B Brendan Kennelly> Stanza 4 25/8/92 Greer> Duffy> Fanthorpe> New Letters on the Air Tess Gallagher - 29 min> Simon Rae/ August Kleinzahler 22/9/95> Stanza 6> Radio Newcastle Bank Holiday> Kaleidoscope> Tony Harrison> Helen Dunmore: Woman's Hour 16.5> Stewart Conn> Tony Harrison> Best Words 15.3.97> Radio Scotland Scottish Connection 28/7/97> A Constant Singing from the Frames Tony Harrison at 60 27-4-97> Jo Balmer Woman's Hr. Oct 21> Wants Roddy> John Agard Kaleidoscope 7-8-97 Adrian Mitchell Treasure Island 29.10.97> Dunmore 1A/ Fanthorpe 1B> 2B> Jennings 2A/ Shapcott 2B> Longley 2A/ McGuckian","1997-1999","","",""
"151","<","Video Tapes: BBC N East: Look North 27.6.00 Basil Bunting> The Frames: UK Arena 30/12/98 RYCU Prog 1 47 The Wasting Game> Benjamin Zephaniah on Channel 4 News 24/2/99> John Agard Thurs 28 May Video Nation Fri 29 98> News Night 30/10/98 Ken Smith on the Poet and 8/1/99 Jackie Kay on the Millenium 26/1/99 BBC 2> The Nation's Favourite Poem BBC 1 9/10/98 Agard + Zephaniah reading a poem each> Dourfun Scottish/Grampiz 11.05 pm 22/11/98 W N Herbert film about Dundee> Gillian Allnutt - Northern Rock North Gest Tonight ITV Look North BBC1 The Culture Show BBC 2> The Inauguration 20/1/09 Elizabeth Alexander as Inaugural Poet BBC 1> The Sunday Programme ITV 5/10/03 David Scott on Do Not Go Gentle: Poems for Friends> Brendan Kennelly Late Late Show 30.5.2003> George Szirtes Worlds News> Essential poems for Britain BBC 2 Jackie Kay Inside Out BBC 1 Julia Darling The Culture Show BBC 2 Hollid Groundwater Breakfast BBC 1 Szirtes Reel> The Art Show Channel 4 26/10/02 Selima Hill>Clare Pollard: The Sixteenth Summer> Benjamin Zephaniah on Question Time 23/1/03 Essential Poems (to fall in love with) University Challenge> Adrian Mitchael on the Review 22/10/2000 ITV Benjamin Zephaniah on Question Time 23/11/2000 BBC> Imtiaz Dharker on Nationhood> Brendan Kennelley Yang Lian 2 Dec 1999> Isiam Maram> W N Herbert + Clare Pollard> The Sunday Programme GMTV 14/7/2002 Staying Alive> The Sunday Proframme: Faith & Poetry Parts 1> 2> 3 TX 23/12/01> Look North BBC 1 North East 1/8/02 Neil interviewed at Highgreen> Zero Gravity - a Space Requiem Gwyneth Lewis BBC 2 11/7/99 Classic short prose Channel 4 27/9/00 Clare Pollard> The South Bank Show ITV 28/3/99 on Tony Harrison> On Show Gwyneth Lewis BBC 2 Wales> Newsnight (Tailer for:) Newsnight Review BBC 2 29/5/09 Pollard + Byrne Tell me lies A Mitchell Voice Recognition> Residues a Croma 26/7/02> BBC 2 Wales 'in the picture' 27.6.02 R S Thomas Residues Reviewed> Travels in written Britain Meluyn Bragg The North 6/4/08 London 13/4/08> BBC Knowledge TX 26/8/99 Jackie Kay Clare Pollard LKJ Ben Zephaniah Simon Armitage> This O.B.E Is Not for Me","1998-2008","","",""
"152","Radio Publicity 2000-2002","Cassettes Tapes: Bloodaxe Books Radio Publicity Highlights from August 2001-June 2002> Bloodaxe Books Radio Publicity Highlights from August 2001-June 2002> Bloodaxe Books Radio Publicity Highlights from August 2001-June 2002> Woman's Hour Selima Hill> With Great Pleasure R S Thomas The Windrose George Szirtes> Andrew Greig Nightwaves 19/11/01 Side 2 A Greig B Kennelly fron row> Fine Line's Adrian Mitchell Fine Lines Szirtes + Alvi> off the shelf Kennelly> Night Waves Elfyn 19/7/01 R 3 Sunday Features Harrison 4/11/01> Off the Shelf RTE 1 Nowhere Birds + Awful Racket> Bloodaxe Publicity Aug 01 - June 02> The Brian Morton Show> Clare Pollard Woman Hr Thurs 25th Apr> Poetry Proms Julia Hankin Shaw - Staying Alive> The English - Knowing Man> Jackie Kay 'The Verb' R3 27/4/02> 1. Jamie - Among Museums R3 7/6/02 2. Fred Voss 'The Edge' R4 9/6/02> Personal Touch - Geoffrey Dutton> Off the Page C. Satymurti> Front Row N. Astley Night Waves Staying ALive> Poetry Please Radio 4 5/5/2002 Funeral Poems (Do Not Go Gentle on them)> CDs: Finelines Series 8 with Christopher Cook and guests John Cooper-Clarke and Jean Binta-Breeze> Finelines Series 8 With Fred D'Aguair Peter Didsbury> Finelines with Christopher Cook and guests> Finelines Series 8 with Nick Drake and Caroline Bird> Cassette Tapes: Nightwaves John Kinsella> Night Waves Glyn Maxwell> Tales from the Archive Chancer + the BBC - Beezer> Poetry 2000 9/1/00 George Szirtes Poetry 2000 16/1/00 Ken Smith> R3-Night Waves 27.4.2000> Afternoon Play-Wasting Game> Fine Lines 2/7/00 'Binta' Breeze Fine Lines 16/7/00 Amanda Dalton> Front Row Yang Lian commenting Front Row Glyn Maxwell> Nightwaves 17/1/00 T S Eliot Night Waves 12/7/00 Szirtes> Between Ourselves George Szirtes Front Row Jean 'Binta' Breeze> Night Waves 2/3/00 Buntin Afternoon Play: Return to Lyonesse Constantine> Book of the Month Strong Words Night Waves Edna Longley> 6 O'Clock News R S Thomas Tributes Front Row> Review of no Can Do on the Arts Show (Ritie) 20.3.00> Bloodaxe Books Radio Publicity 2010 Master> Cover Stories - Lumsden (Front Row - Zephaniah)> Woman's Hour - Stevenson> Up Against the Wall Porteous> Lyric FM 20/4/01 Mury Culli Review 3 Bloodaxe Book> Work In Progress Szirtes Work in Progress Reading> The Lyrics Jackie Kay 14.1.01 World Service Fleur Adcock 27.1.01> John Creedon Shaw R A Higgins> RTE Radio 1 The Enchanted Way Writers Almanac K Jamie> Woman's Hour Jean Binta Breeze Fine Lines Carol Rumens> Fine Lines Gwyneth Lewis Fine Lines R A Higgins + J O'Callaghan> Fine Lines Dharker> Night Waves Mena Elfyn> The Poet The Astronaut 5/1/01> Woman's Hour Binta Breeze Woman's Hour> Private Passions Radio 3 with Ruth Fainlight> Front Row Frieda Hughes Night Waves Frieda> Nightwaves 2/3/01 Stetie Open Book 27/5/01 Kennelly> Bloodaxe Books Radio Publicity Highlights from January-July 2001> Bloodaxe Books Radio Publicity Highlights from January-July 2001","2000-2010","","",""
"153","Bloodaxe Radio Publicity 2005-2013","CDs: The Wrier's Almanac Wek of February 18-24 2013> The Writer's Almanac Week of August 1-7 2011> Worn but nor Forgotten Radio Four 29-08-10> Anne Stevenson Private Radio 3 24/4/05> Poetry Please 2005: 3 0f 9 Objects of Desire> Sailing Without A Boat 1-3> The Verb 15.04.06 Jean 'Binta' Breeze on 5th Figure> Jack Mapanje Nightwaves Special 7/12/05> Witour 28/7/05 Anne Stevenson interview about poems 1955-2005> Belief Benjamin Zephaniah TX: 21/3/05 R3 1900-1930> Points of Entry> Archive on 4 Radio 4 Buntin MacSweeney Neil Astley> The Poet of Sparty Lea: in Search of Barny MacSweeney> Night Waves BBC Radio 3 Hans Magnus Enzensberger> BBC Radio 4 Saturday Review Review of Philip Gross The Water Table> The Poetry Programme Soul Food Programme> Brian Turner Here> Bullet Sunday 16 November 2008> Cassette Tapes: Bloodaxe Books Radio Publicity Highlights from August 2001-June 2002> Bloodaxe Books Radio Publicity Highlights from 2000> Bloodaxe Books Radio Publicity Highlights from January-July 2001> Bloodaxe Books Radio Publicity Highlights from 1999> Bloodaxe Books Radio Publicity Highlights from 1999> Bloodaxe Books Radio Publicity Highlights from 1998> Theard Show G K Eiller Start of the Week Neil Astley> Mid Week Hannah Lowe Woman's Hour Fleur Adcock> Woman's Hour Anne Stevenson> Classic News Night Agard We Brits Woman's Hour G Lewis Chaotic> Binta Breeze Simon Mayo 5/10/06> Night Waves Moniza Alv. Stone Woman's Hour Jackie Kay Life Mask> The Verb Radio 3 James Berry + Polly Clark> Woman's Hour Jackie Kay The Arts Show Jackie Kay> The mironov Legacy by Helen Dunmore The Verb Kapka Kassabova Geography> The Arts Show Stuwart Conn Ghosts> Front Row Gwyneth Lewis as Worlds 1st Nat. Poet> Bloodaxe Radio Publicity 2005/6 MASTER> The Radio Cafe 14/6/06 Dharker Front Row 26/6/06 on R S Thomas> The Verb Salzman Front Roe Carol Rumens Resknation T. S. Eliot Prize>Sailing without a Poet Gwyneth Lewis> The Verb Selima Hill R Roses Start the Week Fleur Adcock> Front Row C K WIlliams> The 6 o'clock News Adcock: QMP> The Arts Show Jackie Kay 13/5/05> Night waves Radio 3 8/10/02 Staying Alive + Pleased to See Me> Front Row Of the Page Gwyneth Lewis> Frieda Hughes Private Pesins Tont Harrison V. Radio 4 18/2/13","1998-2013","","",""
"154","2003 - 2005 Radio Publicity","CDs: Word on the Street 2 - London 2> Classic News Night 17 Nov 2004 Chris Pawling Being Alive> Cover Stories William Boyd Chris Watley & Marc Lambert Josephine Cox Neil Astley> Cover Stories Anita Shreeve Suzy Johnstone Leanne O'Sullivan Buddy Wakefield> Jack Mapanje Night Waves Wed: 7th Dec> Mis Week 3/19/07 Jack Mapanje on Beasts of Nalunga> Foot Notes One Word Radio Matthew Hollis> All Things Considered BBC Radion Waves 7/12/2003 Modern Welsh Poetry as a Xmas Book> Word on the Street Programme 3 - WALES> RTE Radion One ""Yet Enchanted Way""> Word on the Street Programme 1 - Hull> BBC World Service ""The Ticket interview with Jack Mapanje> The Verb 6/11/04 Tony Hoagland> The Word (Week 44) BBC World Service> Night Waves 18/11/04 David Constantine> Sarah Wardle Score! Sky Sports TV> Radio Poems 1. Sarah Maguire 2. Paul Farley 3. Caitriona O'Reilly 4. James Lasdun 5. Maura Dooley> The Verb 24.06.06 Shuttle> The Interview Guest: Jean ""Binta"" Breeze> Cassettes: Word on the Street - Dorset> Frieda Hughes Maria Finucane Show> Julia Haskin BBC Newcastle Pauline Black on Staying Alive Tour> The Verb - Kassabova Poetry Please - Staying Alive> Desert is Land Discs Glimpses chosen as Bill Cullan's Book> Front Row Whitbread '02> Another Country Dharker Night Waves Enzensberger> Start the Week B2 The Verb Cheryl Follon (+ Kopka)> The Verb Matthew Hollis The Verb Staying Alive Tour> Today Hans Magnus Enzensberger Night Waves> Bloodaxe Books Radio Publicity Highlights: July 2002-November 2003> Rattlebag RTE Radio 1 Review of ""Pleased to See Me""> Front Row Bill Herbert Baltic TODAY Residues> Word on the Street - Yorkshire Dunstanburgh Castle: a Secret as the Stone Radio 4 9/2/04 by Katrina Porteous> Belief Dharker Night Waves Stevenson> Night Waves Kennelly/Martiat The Verb Ken Smith Tribute> National Poetry Day 2002 Jackie Kay Front Row Enzensberger> Bloodaxe Books Radio Publicity Highlights: July 2002-November 2003> Word on the Street - Newcastle> Bloodaxe Books Radio Publicity Highlights: July 2002-November 2003> Bloodaxe Books Radio Publicity Highlights from August 2001-June 2002> Bloodaxe Books Radio Publicity Highlights from January-July 2001> Bloodaxe Books Radio Publicity Highlights from 2000> Bloodaxe Books Radio Publicity Highlights from 1999> Bloodaxe Books Radio Publicity Highlights from 1998> Bloodaxe Books Radio Publicity Highlights from March-June 1997> On the Beach Gwyneth Lewis Night Waves G Szirtes> Brian Morton Show W N Herbert Big Bumper> Julia Hankin Herbert Troy> The Verb Katrina Porteous Open Country Katrina Porteous> Enchanted Way Staying Alive Open Book Neil Astley> Ian Macmillan - The Poetry of Britain - including W N Herbert Lawrence Sail> Night Waves 13/11/02 W N Herbert Woman's Hour 23/1/03 Jackie Kay> The Verb Choman Hardi The Verb B Kennelly> Woman's Hour Sasha Dugdale Night Waves Crol Rumens> Word on the Street B2 + R Fisher Front Row Whitbreds - Hollis> Front Row TX: 30/11/2004> tHE mESSAGE 11.2.05> The Verb 23/2/05 Sally Reed> Home Truths presented by B Zephaniah Word of Mouth B Zephaniah> J Mapanje> Julia Hankin Show Being Alive Night Waves Constantine Collected> R3 The Verb: Catallus> Arts Extra New Irish Poets> Word on the Street Kennelly Word on the Street K Jamie> Today 27/2/04 on Prynne The Verb 22/5/04 Tony Harrison> The Green Room Radio 2 Interviews Neil Astley on Being Alive> Simon Five Live Hollis Ground Water> Desert Island Discs - Mapanje> Front Rw G Szirtes T S Eliott Night Waves Szirtes T S Elliot> The Verb Anne Stevenson The Verb Jen Hadfield> The Message B Kennelly The Verb I Dharker","1997-2007","","",""
"155","<"," Tomas Transtromer Collected Poems (Bloodaxe> 1987) Swedish Originals> Transtromer> Unlabelled - Memories Transtromer> Unlabelled - Review articles Translating Swedish Poetry-some grammatical pitfalls> Tsvetayeva> Jean Tardieu> Martin Stokes Editorial Correspondence> D M Thomas Poems 1960-1990> R S Thomas> Ken Smith Correspondence> Ken Smith The Heart the Border> Surescu Biggest Egg in the World Editorial Correspondence> Pauline Stainer The Honeycomb","1987","","",""
"156","<"," Elytis> Lauris Edmond Editorial Correspondence> Lies About Geography new poets from Hull Douglas Dunn> Helen Dunmore Short Days Long Nights> unlabelled - Helen Dunmore> Ian Duhig> Maura Dooley> John Drew Editorial Cor> Adm Czerniawski Burning Forest Editorial Correspondence> Hart Crane Editorial Cor> 3 Czech Poets> Women Poets Correspondence Ed. J Couzyn> Confounded Language Editorial + Production Costings> David Constantine Madder Editorial Corespondence> Harry Clifton The Desert Route","<","","",""
"157","Box Labelled: Pre - 1997 Radio Publicity Tapes","Folder and Box: Unlabelled Folder containing: correspondence for publication details and payment for various poets N through R. Box containgin cassette tapes labelled: Joolz Glass Ocean/ Law of Gravity/ 3 Poem Fox: Englan + Entrepeneurs> Misweek 9.11.94> R S Thomas> unlabellled cassette> Kaleidoscope 27/2/96 When The Tunnels Meet Rev> Buzz + Papers> Kaleidoscope - 19.9.95 Astley - Biting Joseph - Ghosts + O'Brien> unlabelled cassette> Kaleidoscope! Mandelstam Kennelly Reading Senior> Jane Holland - Kaleidoscope> The Usual Suspects Performance Poetry 6 September 1996 Jackie Kay Benjamin Zephaniah> unlabelled cassette> Bestworls 7/9/96> Brendan Kennelly A Time for Voices Selected Poems 1960-1990> Poetry My Arse Brendan Kennelly> unlabelled cassette> A Poet to Poet Armitage + Maxwell B: Voss + Jobe Smith Burns + McSeveney> Langston Hughes + Heaney> Poet to Poet BBC Radio Scotland> Kaleidoscope - Roy Fisher Ode to Hilversum 19/2/96 Song of Dorset> Hawkwood + Ken Smith Radio News> The Adoption Papers> Sara Berkeley> the Fab 4 Christmas Smasheroonie> Woman's Hour 6/10/94 P.V's extracts Dolby B> Unboxed and unlabelled cassette> Poetry Virgins on Woman's Hour 6/10/94> Best Words 9.9.95 Woman's Hour Eleanor Brown> Kaleidoscope 03.05.93> Radio Newcastle 6.11.95 Neil> unlabelled cassette> Radio 2 Arts Prog 17.9.95> Ressurection Men Nigel Wells> Neil Astley Midweek> unlabelled cassette> Focus 24/11/85 Harrison/Byker Critics Forum 6/1/86 Harrison> National Poetry Comp 85> Caimbridge Poetry Festival 1983> TEETH Jackie Kay> Poetry Reading: Voice and Mind Prof. Brendan Kennelly> Brendan Kennelly Reading from his Poems> Simon Rae - August Klein Zahle Radio 3 22/4/95> David Constantine Poet of the Month> Zephaniah - Belly of the the Beast> Sound City Poetry from North East England> Write Now TX Mon 21 Aug 95 (Tail End on side B)> ""The Big Umbrella""> Kaleidoscope 18/12/95> Midweek 12.10.94> Miroslav Holub> Speaking English Through a French Mouth Tuesday 15th May> Benjamin Zephaniah - Hurricane Dub Passport to Liverpoolk - BBC Documentary> Brendan Kennelly Scottosh Radio> Bill Naughton Derby Dy 1921 Part 1> unlabelled cassette> Bete Noire Poetry Festical Radio 4 July - August 1991> Bill Naughton Berby Day 1921 Part 2> Tribute to Bill Naughton BBC Belfast> Ratushinskaya Critics Forum 1986> unlabelled cassette> Ken Smith Poet of the Month> Focus 22/9/85 Focus 28/10/85> 1. Sid Chaplin 2. Critics Forum> Where to find a Poem: A Rough Guice for the 21st Century Thursday 17 May> How Poets Read Poets Wednesday 16th May> Seeds of Fire Kaleidoscope 29 Nov 1989> The Poets Voice Katie Donovan Reading> Stanze: Tony Harrison> Belfast Start the Week 1994","1985-1986> 1994-1995","","",""
"158","<"," The Air Mines of Mistila Philip Gross + Sylvia Kantaris> pamela Gillilan Editorial Cor> Andrew Greig The Order of the Day> Arthur Gibson Editorial Correspondence> Correspondence> Kathleen Jamie + Andrew Greig Editorial Cor> Tony Harrison Editorial Cor> Hanzlik> Michael Hamburger Editorial Correspondence> John Greening> Gomuri + Szirtes Colonnade of Teeth> Elizabeth Garrett The Rule of Three> unlabelled envelope - Tsvetayeva + Forsstrom correspondence","<","","",""
"159","<","Holub> Harrison Essays Dropped> Holub Correspondence See also orange file> Holub Venues> Holderlin> Anne Herbert> Dorothy Hewett> Lysistrata> Harrison General Material> Tony Harrison Dramatic Verse> A Cold Cuming Tony Harrison> Michael Hamburger","<","","",""
"160","<"," MBA Literary Agents Limited correspondence> B S Johnson Editorial Correspondence + Cuttings> Jenny Joseph Selected Poems + Correspndence with JJ to 1992> Sylbvia Kantaris Dirty Washing> Sylvia Kantaris Dirty Washing> Brendan Kennelly Cromwell> Kathleen Jamie The Way We Live> Vladimir Janovic The House of the Tragic Poet> Joolz> Paul Hyland Editorial Cor> Frances Horovitz Collected Poems 2nd Impression 1989 (+ relevant 1st ed. correspondence> John Hughes> Douglas Houston Editorial Correspondence","1989-1992","","",""
